Isotope;b
H;-3,74
He;3,26
Li;-1,90
Be;7,79
B;5,30
C;6,65
N;9,36
O;5,80
F;5,65
Ne;4,57
Na;3,63
Mg;5,38
Al;3,45
Si;4,15
P;5,13
S;2,85
Cl;9,58
Ar;1,91
K;3,67
Ca;4,70
Sc;12,29
Ti;-3,44
V;-0,38
Cr;3,64
Mn;-3,73
Fe;9,45
Co;2,49
Ni;10,30
Cu;7,72
Zn;5,68
Ga;7,29
Ge;8,19
As;6,58
Se;7,97
Br;6,80
Kr;7,81
Rb;7,09
Sr;7,02
Y;7,75
Zr;7,16
Nb;7,05
Mo;6,72
Tc;6,80
Ru;7,03
Rh;5,88
Pd;5,91
Ag;5,92
Cd;4,87
In;4,07
Sn;6,23
Sb;5,57
Te;5,80
I;5,28
Xe;4,92
Cs;5,42
Ba;5,07
La;8,24
Ce;4,84
Pr;4,58
Nd;7,69
Pm;12,60
Sm;0,80
Eu;7,22
Gd;6,50
Tb;7,38
Dy;16,90
Ho;8,01
Er;7,79
Tm;7,07
Yb;12,43
Lu;7,21
Hf;7,70
Ta;6,91
W;4,86
Re;9,20
Os;10,70
Ir;10,60
Pt;9,60
Au;7,63
Hg;12,69
Tl;8,78
Pb;9,41
Bi;8,53
