Element,a1,b1,a2,b2,a3,b3,a4,b4,c
H,4.90E-01,2.07E+01,2.62E-01,7.74E+00,1.97E-01,4.96E+01,4.99E-02,2.20E+00,1.31E-03
He,8.73E-01,9.10E+00,6.31E-01,3.36E+00,3.11E-01,2.29E+01,1.78E-01,9.82E-01,6.40E-03
Li,1.13E+00,3.95E+00,7.51E-01,1.05E+00,6.18E-01,8.54E+01,4.65E-01,1.68E+02,3.77E-02
Be,1.59E+00,4.36E+01,1.13E+00,1.86E+00,5.39E-01,1.03E+02,7.03E-01,5.42E-01,3.85E-02
B,2.05E+00,2.32E+01,1.33E+00,1.02E+00,1.10E+00,6.03E+01,7.07E-01,1.40E-01,-1.93E-01
C,2.31E+00,2.08E+01,1.02E+00,1.02E+01,1.59E+00,5.69E-01,8.65E-01,5.17E+01,2.16E-01
N,1.22E+01,5.70E-03,3.13E+00,9.89E+00,2.01E+00,2.90E+01,1.17E+00,5.83E-01,-1.15E+01
O,3.05E+00,1.33E+01,2.29E+00,5.70E+00,1.55E+00,3.24E-01,8.67E-01,3.29E+01,2.51E-01
F,3.54E+00,1.03E+01,2.64E+00,4.29E+00,1.52E+00,2.62E-01,1.02E+00,2.61E+01,2.78E-01
Ne,3.96E+00,8.40E+00,3.11E+00,3.43E+00,1.45E+00,2.31E-01,1.13E+00,2.17E+01,3.52E-01
Na,4.76E+00,3.29E+00,3.17E+00,8.84E+00,1.27E+00,3.14E-01,1.11E+00,1.29E+02,6.76E-01
Mg,5.42E+00,2.83E+00,2.17E+00,7.93E+01,1.23E+00,3.81E-01,2.31E+00,7.19E+00,8.58E-01
Al,6.42E+00,3.04E+00,1.90E+00,7.43E-01,1.59E+00,3.15E+01,1.96E+00,8.51E+01,1.12E+00
Si,6.29E+00,2.44E+00,3.04E+00,3.23E+01,1.99E+00,6.79E-01,1.54E+00,8.17E+01,1.14E+00
P,6.43E+00,1.91E+00,4.18E+00,2.72E+01,1.78E+00,5.26E-01,1.49E+00,6.82E+01,1.11E+00
